DEPLOYMENT_PERIOD,SENSOR,TIMESTAMP,VARIABLE,DEPTH,VALUE
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-30T21:06:00Z,Dissolved Oxygen,5,111.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-30T22:48:00Z,Dissolved Oxygen,5,111.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T00:30:00Z,Dissolved Oxygen,5,111.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T02:13:00Z,Dissolved Oxygen,5,110.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T03:55:00Z,Dissolved Oxygen,5,110.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T05:37:00Z,Dissolved Oxygen,5,110.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T07:19:00Z,Dissolved Oxygen,5,110.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T09:01:00Z,Dissolved Oxygen,5,110.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T10:43:00Z,Dissolved Oxygen,5,110.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T12:25:00Z,Dissolved Oxygen,5,110.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T14:07:00Z,Dissolved Oxygen,5,109.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T15:49:00Z,Dissolved Oxygen,5,111.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T17:32:00Z,Dissolved Oxygen,5,111
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T19:14:00Z,Dissolved Oxygen,5,111.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T20:56:00Z,Dissolved Oxygen,5,111.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-05-31T22:38:00Z,Dissolved Oxygen,5,111
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T00:20:00Z,Dissolved Oxygen,5,111.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T02:02:00Z,Dissolved Oxygen,5,109.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T03:45:00Z,Dissolved Oxygen,5,110.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T05:27:00Z,Dissolved Oxygen,5,110.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T07:09:00Z,Dissolved Oxygen,5,110.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T08:51:00Z,Dissolved Oxygen,5,110.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T10:33:00Z,Dissolved Oxygen,5,110.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T12:15:00Z,Dissolved Oxygen,5,110.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T13:57:00Z,Dissolved Oxygen,5,110.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T15:39:00Z,Dissolved Oxygen,5,110.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T17:22:00Z,Dissolved Oxygen,5,111.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-01T19:04:00Z,Dissolved Oxygen,5,112
