DEPLOYMENT_PERIOD,SENSOR,TIMESTAMP,VARIABLE,DEPTH,VALUE
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-21T22:01:00Z,Dissolved Oxygen,5,112.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-21T23:41:00Z,Dissolved Oxygen,5,111.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T01:21:00Z,Dissolved Oxygen,5,111.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T03:01:00Z,Dissolved Oxygen,5,111.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T04:41:00Z,Dissolved Oxygen,5,111.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T06:21:00Z,Dissolved Oxygen,5,111.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T08:01:00Z,Dissolved Oxygen,5,110.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T09:41:00Z,Dissolved Oxygen,5,110.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T11:21:00Z,Dissolved Oxygen,5,110.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T13:01:00Z,Dissolved Oxygen,5,110.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T14:41:00Z,Dissolved Oxygen,5,110.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T16:21:00Z,Dissolved Oxygen,5,110.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T18:01:00Z,Dissolved Oxygen,5,111.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T19:41:00Z,Dissolved Oxygen,5,110.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T21:21:00Z,Dissolved Oxygen,5,108.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-22T23:01:00Z,Dissolved Oxygen,5,107.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T00:41:00Z,Dissolved Oxygen,5,107
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T02:21:00Z,Dissolved Oxygen,5,106.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T04:01:00Z,Dissolved Oxygen,5,105.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T05:40:00Z,Dissolved Oxygen,5,105.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T07:20:00Z,Dissolved Oxygen,5,105.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T09:00:00Z,Dissolved Oxygen,5,105.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T10:40:00Z,Dissolved Oxygen,5,105.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T12:20:00Z,Dissolved Oxygen,5,104.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T14:00:00Z,Dissolved Oxygen,5,105.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T15:40:00Z,Dissolved Oxygen,5,105.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T17:20:00Z,Dissolved Oxygen,5,105.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T19:00:00Z,Dissolved Oxygen,5,105.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T20:40:00Z,Dissolved Oxygen,5,105.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-23T22:20:00Z,Dissolved Oxygen,5,105.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T00:00:00Z,Dissolved Oxygen,5,105.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T01:40:00Z,Dissolved Oxygen,5,104.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T03:20:00Z,Dissolved Oxygen,5,103.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T05:00:00Z,Dissolved Oxygen,5,103.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T06:40:00Z,Dissolved Oxygen,5,104.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T08:20:00Z,Dissolved Oxygen,5,105.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T10:00:00Z,Dissolved Oxygen,5,104.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T11:40:00Z,Dissolved Oxygen,5,105.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T13:20:00Z,Dissolved Oxygen,5,105.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T15:00:00Z,Dissolved Oxygen,5,106.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T16:40:00Z,Dissolved Oxygen,5,106.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T18:20:00Z,Dissolved Oxygen,5,106.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T20:00:00Z,Dissolved Oxygen,5,106.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T21:40:00Z,Dissolved Oxygen,5,106.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-24T23:20:00Z,Dissolved Oxygen,5,106.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T01:00:00Z,Dissolved Oxygen,5,105.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T02:40:00Z,Dissolved Oxygen,5,105.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T04:20:00Z,Dissolved Oxygen,5,105.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T06:00:00Z,Dissolved Oxygen,5,104.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T07:40:00Z,Dissolved Oxygen,5,102.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T09:20:00Z,Dissolved Oxygen,5,104.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T10:59:00Z,Dissolved Oxygen,5,104.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T12:39:00Z,Dissolved Oxygen,5,104.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T14:19:00Z,Dissolved Oxygen,5,105.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T15:59:00Z,Dissolved Oxygen,5,106.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T17:39:00Z,Dissolved Oxygen,5,108.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T19:19:00Z,Dissolved Oxygen,5,108.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T20:59:00Z,Dissolved Oxygen,5,108.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-25T22:39:00Z,Dissolved Oxygen,5,109.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T00:19:00Z,Dissolved Oxygen,5,108.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T01:59:00Z,Dissolved Oxygen,5,108.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T03:39:00Z,Dissolved Oxygen,5,106.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T05:19:00Z,Dissolved Oxygen,5,104.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T06:59:00Z,Dissolved Oxygen,5,104
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T08:39:00Z,Dissolved Oxygen,5,107.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T10:19:00Z,Dissolved Oxygen,5,107.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T11:59:00Z,Dissolved Oxygen,5,107.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T13:39:00Z,Dissolved Oxygen,5,108.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T15:19:00Z,Dissolved Oxygen,5,108.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T16:59:00Z,Dissolved Oxygen,5,109.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T18:39:00Z,Dissolved Oxygen,5,109.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T20:19:00Z,Dissolved Oxygen,5,111.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T21:59:00Z,Dissolved Oxygen,5,111.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-26T23:39:00Z,Dissolved Oxygen,5,112.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T01:19:00Z,Dissolved Oxygen,5,112.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T02:59:00Z,Dissolved Oxygen,5,112.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T04:39:00Z,Dissolved Oxygen,5,109
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T06:19:00Z,Dissolved Oxygen,5,105.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T07:59:00Z,Dissolved Oxygen,5,112.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T09:39:00Z,Dissolved Oxygen,5,112.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T11:19:00Z,Dissolved Oxygen,5,113.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T12:59:00Z,Dissolved Oxygen,5,113
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T14:38:00Z,Dissolved Oxygen,5,113.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T16:18:00Z,Dissolved Oxygen,5,113.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T17:58:00Z,Dissolved Oxygen,5,113.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T19:38:00Z,Dissolved Oxygen,5,114
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T21:18:00Z,Dissolved Oxygen,5,113.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-27T22:58:00Z,Dissolved Oxygen,5,114
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T00:38:00Z,Dissolved Oxygen,5,113.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T02:18:00Z,Dissolved Oxygen,5,113.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T03:58:00Z,Dissolved Oxygen,5,113.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T05:38:00Z,Dissolved Oxygen,5,113.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T07:18:00Z,Dissolved Oxygen,5,112.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T08:58:00Z,Dissolved Oxygen,5,112.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T10:38:00Z,Dissolved Oxygen,5,111.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T12:18:00Z,Dissolved Oxygen,5,112.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T13:58:00Z,Dissolved Oxygen,5,112.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T15:38:00Z,Dissolved Oxygen,5,112.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T17:18:00Z,Dissolved Oxygen,5,112.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T18:58:00Z,Dissolved Oxygen,5,113.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T20:38:00Z,Dissolved Oxygen,5,113.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T22:18:00Z,Dissolved Oxygen,5,113.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-28T23:58:00Z,Dissolved Oxygen,5,113.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T01:38:00Z,Dissolved Oxygen,5,113.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T03:18:00Z,Dissolved Oxygen,5,112.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T04:58:00Z,Dissolved Oxygen,5,113.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T06:38:00Z,Dissolved Oxygen,5,112.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T08:18:00Z,Dissolved Oxygen,5,113
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T09:58:00Z,Dissolved Oxygen,5,112.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T11:38:00Z,Dissolved Oxygen,5,112.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T13:18:00Z,Dissolved Oxygen,5,112.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T14:58:00Z,Dissolved Oxygen,5,113.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T16:38:00Z,Dissolved Oxygen,5,113.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T18:18:00Z,Dissolved Oxygen,5,113.3
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T19:57:00Z,Dissolved Oxygen,5,111
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T21:37:00Z,Dissolved Oxygen,5,109.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-29T23:17:00Z,Dissolved Oxygen,5,113.9
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T00:57:00Z,Dissolved Oxygen,5,113.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T02:37:00Z,Dissolved Oxygen,5,113.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T04:17:00Z,Dissolved Oxygen,5,113.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T05:57:00Z,Dissolved Oxygen,5,113.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T07:37:00Z,Dissolved Oxygen,5,113.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T09:17:00Z,Dissolved Oxygen,5,113.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T10:57:00Z,Dissolved Oxygen,5,113.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T12:37:00Z,Dissolved Oxygen,5,113.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T14:17:00Z,Dissolved Oxygen,5,113.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T15:57:00Z,Dissolved Oxygen,5,113.6
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T17:37:00Z,Dissolved Oxygen,5,113.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T19:17:00Z,Dissolved Oxygen,5,113.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T20:57:00Z,Dissolved Oxygen,5,113.5
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-06-30T22:37:00Z,Dissolved Oxygen,5,113.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-07-01T00:17:00Z,Dissolved Oxygen,5,112.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-07-01T01:57:00Z,Dissolved Oxygen,5,111.4
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-07-01T03:37:00Z,Dissolved Oxygen,5,111.2
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-07-01T05:17:00Z,Dissolved Oxygen,5,111.1
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-07-01T06:57:00Z,Dissolved Oxygen,5,111.8
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-07-01T08:37:00Z,Dissolved Oxygen,5,110.7
2019-Jun-21 to 2020-Apr-17,aquaMeasure-670373,2019-07-01T10:17:00Z,Dissolved Oxygen,5,110.9
