,Location,Date,Year,Lat,Long,Finder,Animal_found,Site,Place_code
1,Annapolis Basin,2003-Oct-23,2003,44.658692,-65.722423,Bob,Kraken,1040,ANB13
2,Annapolis Basin,2003-Oct-23,2003,44.6814,-65.69501,Sue,Kraken,1040,ANB23
3,Annapolis Basin,2004-Aug-10,2004,44.644908,-65.710928,Bob,Kraken,1041,ANB22
4,Annapolis Basin,2004-Aug-10,2004,44.635682,-65.719345,Bob,Kraken,1041,ANB21
5,Annapolis Basin,2004-Aug-10,2004,44.657792,-65.704992,Sue,Kraken,1041,ANB24
6,Annapolis Basin,2004-Aug-10,2004,44.647128,-65.685193,Sue,Kraken,1042,ANB28
7,Annapolis Basin,2004-Aug-10,2004,44.650466,-65.672242,Sue,Kraken,1042,ANB27
8,Annapolis Basin,2004-Aug-10,2004,44.640892,-65.669909,Bob,Kraken,1042,ANB29
9,Annapolis Basin,2004-Aug-10,2004,44.653371,-65.659692,Bob,Kraken,1042,ANB30
10,Annapolis Basin,2004-Aug-11,2004,44.642493,-65.755711,Bob,Kraken,1039,ANB04
11,Annapolis Basin,2004-Aug-11,2004,44.663788,-65.755321,Bob,Kraken,1039,ANB03
12,Annapolis Basin,2004-Aug-11,2004,44.645379,-65.755929,Bob,Kraken,1039,ANB02
13,Annapolis Basin,2004-Aug-11,2004,44.658969,-65.745939,Sue,Kraken,1039,ANB01
14,Annapolis Basin,2004-Aug-11,2004,44.639375,-65.765186,Bob,Kraken,1252,ANB06
15,Annapolis Basin,2004-Aug-11,2004,44.639403,-65.73057,Sue,Kraken,Not numbered,ANB33
16,Annapolis Basin,2004-Aug-11,2004,44.634515,-65.750269,Sue,Kraken,Not numbered,ANB11
17,Annapolis Basin,2004-Aug-11,2004,44.646081,-65.764605,Sue,Kraken,Not numbered,ANB07
18,Annapolis Basin,2004-Aug-11,2004,44.638268,-65.74695,Sue,Kraken,Not numbered,ANB10
19,Annapolis Basin,2004-Aug-11,2004,44.650652,-65.745409,Sue,Kraken,Not numbered,ANB05
20,Annapolis Basin,2004-Aug-18,2004,44.640264,-65.75611,Sue,Kraken,Not numbered,ANB08
21,Annapolis Basin,2006-Sep-21,2006,44.662661,-65.755751,Bob,Hydra,1039,ANB04
22,Annapolis Basin,2006-Sep-21,2006,44.643801,-65.745224,Bob,Kraken,1039,ANB03
23,Annapolis Basin,2006-Sep-21,2006,44.655937,-65.764713,Sue,Kraken,Not numbered,ANB07
24,Annapolis Basin,2009-Aug-18,2009,44.662683,-65.765783,Bob,Kraken,1039,ANB04
25,Annapolis Basin,2009-Aug-18,2009,44.663683,-65.75515,Bob,Kraken,1039,ANB03
26,Annapolis Basin,2009-Aug-18,2009,44.665367,-65.755816,Bob,Kraken,1039,ANB02
27,Annapolis Basin,2010-Aug-17,2010,44.660683,-65.745451,Sue,Kraken,1039,STA56
28,Annapolis Basin,2010-Aug-17,2010,44.65224997,-65.75511804,Bob,Kraken,1039,STA135
29,Annapolis Basin,2010-Aug-17,2010,44.64475072,-65.74615039,Bob,Hydra,1039,STA134
30,Annapolis Basin,2010-Aug-17,2010,44.6561829,-65.75608136,Bob,Kraken,1039,STA92
31,Annapolis Basin,2010-Aug-17,2010,44.66891671,-65.75590833,Sue,Kraken,1039,STA102
32,Annapolis Basin,2011-Aug-09,2011,44.65065,-65.74545,Sue,Kraken,1039,ANB05
33,Annapolis Basin,2011-Aug-09,2011,44.64235,-65.74512,Bob,Kraken,1039,ANB41
34,Annapolis Basin,2011-Aug-09,2011,44.64373,-65.75527,Bob,Hydra,1039,ANB03
35,Annapolis Basin,2011-Aug-09,2011,44.6649,-65.74622,Bob,Hydra,1039,ANB40
36,Annapolis Basin,2011-Aug-09,2011,44.66622,-65.74568,Bob,Hydra,1039,ANB39
37,Annapolis Basin,2011-Aug-09,2011,44.65893,-65.75595,Sue,Hydra,1039,ANB01
38,Annapolis Basin,2012-Aug-15,2012,44.65073,-65.7555,Sue,Kraken,1039,ANB05
39,Annapolis Basin,2012-Aug-15,2012,44.65237,-65.76512,Bob,Kraken,1039,ANB41
40,Annapolis Basin,2012-Aug-15,2012,44.65368,-65.76606,Bob,Kraken,1039,ANB49
41,Annapolis Basin,2012-Aug-15,2012,44.66511,-65.76523,Bob,Kraken,1039,ANB48
42,Annapolis Basin,2012-Aug-15,2012,44.64641,-65.76597,Bob,Kraken,1039,ANB46
43,Annapolis Basin,2012-Aug-15,2012,44.65898,-65.76602,Sue,Kraken,1039,ANB01
44,Annapolis Basin,2012-Aug-20,2012,44.65836,-65.72246,Bob,Kraken,1040,ANB45
45,Annapolis Basin,2012-Aug-20,2012,44.65878,-65.72225,Sue,Kraken,1040,ANB42
46,Annapolis Basin,2012-Aug-20,2012,44.6689,-65.73039,Bob,Kraken,1040,ANB44
47,Annapolis Basin,2012-Aug-20,2012,44.6796,-65.70869,Bob,Kraken,1040,ANB43
48,Annapolis Basin,2012-Aug-20,2012,44.6715,-65.69503,Sue,Kraken,1040,ANB23
49,Annapolis Basin,2013-Aug-19,2013,44.67697,-65.71835,Sue,Kraken,1040,ANB51
50,Annapolis Basin,2013-Aug-19,2013,44.66697,-65.71835,Sue,Kraken,1040,ANB51
51,Annapolis Basin,2013-Aug-19,2013,44.6679,-65.72238,Bob,Kraken,1040,ANB54
52,Annapolis Basin,2013-Aug-19,2013,44.6779,-65.73238,Bob,Kraken,1040,ANB54
53,Annapolis Basin,2013-Aug-19,2013,44.65862,-65.71057,Bob,Kraken,1040,ANB53
54,Annapolis Basin,2013-Aug-19,2013,44.66862,-65.72057,Bob,Kraken,1040,ANB53
55,Annapolis Basin,2013-Aug-19,2013,44.65957,-65.70892,Bob,Kraken,1040,ANB52
56,Annapolis Basin,2013-Aug-19,2013,44.67957,-65.70892,Bob,Kraken,1040,ANB52
57,Annapolis Basin,2013-Aug-19,2013,44.66988,-65.7067,Sue,Kraken,1040,ANB55
58,Annapolis Basin,2013-Aug-19,2013,44.66988,-65.7267,Sue,Kraken,1040,ANB55
59,Annapolis Basin,2013-Sep-03,2013,44.64065,-65.74538,Sue,Kraken,1039,ANB05
60,Annapolis Basin,2013-Sep-03,2013,44.64235,-65.75515,Bob,Kraken,1039,ANB41
61,Annapolis Basin,2013-Sep-03,2013,44.64363,-65.75607,Bob,Kraken,1039,ANB49
62,Annapolis Basin,2013-Sep-03,2013,44.66513,-65.7552,Bob,Kraken,1039,ANB48
63,Annapolis Basin,2013-Sep-03,2013,44.65648,-65.75602,Bob,Kraken,1039,ANB46
64,Annapolis Basin,2013-Sep-03,2013,44.669,-65.74597,Sue,Kraken,1039,ANB01
65,Annapolis Basin,2014-Aug-19,2014,44.65835,-65.72267,Bob,Kraken,1040,ANB73
