YEAR,SITE,LONGITUDE,LATITUDE
2019,600,-61.125428,45.961028
2019,600,-61.122851,45.9611
2019,600,-61.122672,45.959044
2019,600,-61.125047,45.958981
2019,845,-61.11577,45.959978
2019,845,-61.110706,45.958981
2019,845,-61.110258,45.960165
2019,845,-61.11586,45.96138
2019,814-3,-61.117608,45.951504
2019,814-3,-61.11707,45.947765
2019,814-3,-61.120655,45.947827
2019,814-3,-61.120521,45.952189
2019,814-4,-61.129349,45.94926
2019,814-4,-61.127064,45.947515
2019,814-4,-61.131366,45.945646
2019,814-4,-61.134279,45.947796
2019,814-5,-61.137954,45.940909
2019,814-5,-61.136206,45.942311
2019,814-5,-61.128811,45.940597
2019,814-5,-61.129932,45.939164
2019,814-6,-61.120162,45.940597
2019,814-6,-61.117249,45.938914
2019,814-6,-61.114381,45.942124
2019,814-6,-61.117877,45.943558
